# Format: module_config	jacob_cov_score	num_params	N of Blocks	total_params	status
['C', 'RFF', 'C', 'C', 'M']	-16.266113	1.626	12	21382656	success
['I', 'M', 'C', 'C', 'C']	-16.268274	1.101	18	21685248	success
['C', 'C', 'C', 'M', 'M']	-16.268431	1.583	13	22448896	success
['I', 'RFF', 'M', 'C', 'C']	-16.270037	1.420	14	21747712	success
['I', 'M', 'C', 'M', 'C']	-16.270519	1.377	15	22520832	success
['I', 'C', 'C', 'M', 'C']	-16.270737	1.101	18	21685248	success
['C', 'C', 'RFF', 'C', 'M']	-16.271808	1.626	12	21382656	success
['I', 'M', 'C', 'C', 'RFF']	-16.272034	1.420	14	21747712	success
['C', 'RFF', 'M', 'C', 'C']	-16.272405	1.626	12	21382656	success
['I', 'M', 'M', 'C', 'C']	-16.272432	1.377	15	22520832	success
['I', 'C', 'M', 'C', 'C']	-16.272835	1.101	18	21685248	success
['C', 'M', 'SFF', 'C', 'C']	-16.273157	1.626	12	21382656	success
['I', 'SFF', 'C', 'M', 'C']	-16.274054	1.420	14	21747712	success
['C', 'C', 'SFF', 'C', 'M']	-16.274208	1.626	12	21382656	success
['I', 'C', 'M', 'C', 'M']	-16.274282	1.377	15	22520832	success
['C', 'M', 'C', 'C', 'RFF']	-16.276379	1.626	12	21382656	success
['M', 'C', 'C', 'C', 'RFF']	-16.277050	1.626	12	21382656	success
['I', 'C', 'C', 'RFF', 'M']	-16.277403	1.420	14	21747712	success
['C', 'M', 'C', 'C', 'C']	-16.279004	1.307	15	21476352	success
['I', 'RFF', 'C', 'C', 'M']	-16.280809	1.420	14	21747712	success
['SFF', 'C', 'M', 'C', 'C']	-16.280941	1.626	12	21382656	success
['I', 'I', 'C', 'C', 'M']	-16.283442	0.894	22	21550592	success
['I', 'C', 'M', 'M', 'C']	-16.284816	1.377	15	22520832	success
['I', 'C', 'C', 'M', 'SFF']	-16.286957	1.420	14	21747712	success
['M', 'C', 'C', 'C', 'M']	-16.288570	1.583	13	22448896	success
['I', 'SFF', 'C', 'C', 'M']	-16.289588	1.420	14	21747712	success
['I', 'C', 'RFF', 'C', 'M']	-16.289822	1.420	14	21747712	success
['C', 'RFF', 'C', 'M', 'C']	-16.291919	1.626	12	21382656	success
['M', 'C', 'SFF', 'C', 'C']	-16.292310	1.626	12	21382656	success
['C', 'M', 'C', 'C', 'M']	-16.292833	1.583	13	22448896	success
['I', 'C', 'C', 'M', 'M']	-16.295086	1.377	15	22520832	success
['C', 'C', 'C', 'M', 'RFF']	-16.295671	1.626	12	21382656	success
['C', 'C', 'C', 'C', 'M']	-16.295884	1.307	15	21476352	success
['I', 'RFF', 'C', 'M', 'C']	-16.296418	1.420	14	21747712	success
['C', 'M', 'M', 'C', 'C']	-16.297282	1.583	13	22448896	success
['I', 'C', 'M', 'C', 'SFF']	-16.298354	1.420	14	21747712	success
['I', 'C', 'M', 'C', 'RFF']	-16.298412	1.420	14	21747712	success
['C', 'M', 'C', 'C', 'SFF']	-16.298991	1.626	12	21382656	success
['I', 'M', 'SFF', 'C', 'C']	-16.299693	1.420	14	21747712	success
['I', 'C', 'M', 'RFF', 'C']	-16.301457	1.420	14	21747712	success
['RFF', 'C', 'C', 'M', 'C']	-16.304526	1.626	12	21382656	success
['I', 'M', 'C', 'C', 'SFF']	-16.304916	1.420	14	21747712	success
['I', 'C', 'SFF', 'M', 'C']	-16.306289	1.420	14	21747712	success
['C', 'C', 'RFF', 'M', 'C']	-16.307186	1.626	12	21382656	success
['C', 'C', 'C', 'SFF', 'M']	-16.310737	1.626	12	21382656	success
['C', 'M', 'RFF', 'C', 'C']	-16.310825	1.626	12	21382656	success
['M', 'C', 'C', 'C', 'C']	-16.312466	1.307	15	21476352	success
['I', 'C', 'SFF', 'C', 'M']	-16.314089	1.420	14	21747712	success
['C', 'C', 'M', 'C', 'SFF']	-16.314490	1.626	12	21382656	success
['I', 'C', 'RFF', 'M', 'C']	-16.315918	1.420	14	21747712	success
['I', 'SFF', 'M', 'C', 'C']	-16.317606	1.420	14	21747712	success
['C', 'M', 'C', 'RFF', 'C']	-16.319757	1.626	12	21382656	success
['M', 'C', 'C', 'C', 'SFF']	-16.319836	1.626	12	21382656	success
['C', 'SFF', 'C', 'M', 'C']	-16.321217	1.626	12	21382656	success
['I', 'M', 'C', 'SFF', 'C']	-16.322428	1.420	14	21747712	success
['C', 'C', 'M', 'SFF', 'C']	-16.326991	1.626	12	21382656	success
['M', 'C', 'C', 'RFF', 'C']	-16.327724	1.626	12	21382656	success
['M', 'SFF', 'C', 'C', 'C']	-16.328568	1.626	12	21382656	success
['M', 'M', 'C', 'C', 'C']	-16.339048	1.583	13	22448896	success
['SFF', 'C', 'C', 'C', 'M']	-16.344632	1.626	12	21382656	success
['M', 'C', 'C', 'SFF', 'C']	-16.347035	1.626	12	21382656	success
['C', 'C', 'SFF', 'M', 'C']	-16.347241	1.626	12	21382656	success
['C', 'C', 'C', 'M', 'C']	-16.362199	1.307	15	21476352	success
['C', 'C', 'M', 'RFF', 'C']	-16.373334	1.626	12	21382656	success
['C', 'M', 'C', 'M', 'SFF']	-16.462835	1.902	11	22792448	success
['C', 'C', 'M', 'M', 'RFF']	-16.492348	1.902	11	22792448	success
['M', 'C', 'RFF', 'M', 'C']	-16.497307	1.902	11	22792448	success
['SFF', 'C', 'M', 'C', 'M']	-16.518374	1.902	11	22792448	success
['M', 'M', 'C', 'C', 'SFF']	-16.523112	1.902	11	22792448	success
['M', 'M', 'C', 'C', 'RFF']	-16.531273	1.902	11	22792448	success
['M', 'C', 'M', 'C', 'RFF']	-16.544881	1.902	11	22792448	success
['M', 'RFF', 'M', 'C', 'C']	-16.547034	1.902	11	22792448	success
['M', 'C', 'M', 'SFF', 'C']	-16.547143	1.902	11	22792448	success
['M', 'C', 'M', 'C', 'SFF']	-16.548511	1.902	11	22792448	success
['C', 'RFF', 'C', 'M', 'M']	-16.562859	1.902	11	22792448	success
['RFF', 'C', 'M', 'C', 'M']	-16.564735	1.902	11	22792448	success
['C', 'C', 'RFF', 'M', 'M']	-16.565812	1.902	11	22792448	success
['RFF', 'M', 'C', 'M', 'C']	-16.574695	1.902	11	22792448	success
['C', 'C', 'M', 'SFF', 'M']	-16.578624	1.902	11	22792448	success
['C', 'SFF', 'C', 'M', 'M']	-16.580115	1.902	11	22792448	success
['M', 'C', 'M', 'RFF', 'C']	-16.593166	1.902	11	22792448	success
['C', 'M', 'M', 'SFF', 'C']	-16.595676	1.902	11	22792448	success
['SFF', 'M', 'C', 'M', 'C']	-16.599909	1.902	11	22792448	success
['M', 'C', 'SFF', 'C', 'M']	-16.600129	1.902	11	22792448	success
['C', 'RFF', 'M', 'C', 'M']	-16.600237	1.902	11	22792448	success
['RFF', 'M', 'C', 'C', 'M']	-16.603172	1.902	11	22792448	success
['M', 'M', 'RFF', 'C', 'C']	-16.605304	1.902	11	22792448	success
['M', 'SFF', 'C', 'M', 'C']	-16.606195	1.902	11	22792448	success
['M', 'RFF', 'C', 'M', 'C']	-16.610746	1.902	11	22792448	success
['M', 'SFF', 'M', 'C', 'C']	-16.614861	1.902	11	22792448	success
['SFF', 'M', 'C', 'C', 'M']	-16.617228	1.902	11	22792448	success
['C', 'M', 'M', 'C', 'SFF']	-16.627493	1.902	11	22792448	success
['RFF', 'C', 'M', 'M', 'C']	-16.628669	1.902	11	22792448	success
['C', 'M', 'SFF', 'M', 'C']	-16.630783	1.902	11	22792448	success
['C', 'M', 'C', 'M', 'RFF']	-16.631800	1.902	11	22792448	success
['C', 'M', 'C', 'RFF', 'M']	-16.639832	1.902	11	22792448	success
['M', 'C', 'SFF', 'M', 'C']	-16.656797	1.902	11	22792448	success
['C', 'SFF', 'M', 'M', 'C']	-16.669213	1.902	11	22792448	success
['RFF', 'C', 'C', 'M', 'M']	-16.671334	1.902	11	22792448	success
['C', 'M', 'SFF', 'C', 'M']	-16.672432	1.902	11	22792448	success
['C', 'C', 'SFF', 'M', 'M']	-16.673169	1.902	11	22792448	success
['M', 'M', 'C', 'SFF', 'C']	-16.674052	1.902	11	22792448	success
['M', 'C', 'C', 'M', 'RFF']	-16.675847	1.902	11	22792448	success
['SFF', 'C', 'M', 'M', 'C']	-16.677893	1.902	11	22792448	success
['M', 'RFF', 'SFF', 'C', 'C']	-16.679630	1.946	10	21320192	success
['SFF', 'C', 'C', 'M', 'M']	-16.679932	1.902	11	22792448	success
['C', 'C', 'RFF', 'SFF', 'M']	-16.680437	1.946	10	21320192	success
['C', 'RFF', 'M', 'M', 'C']	-16.684241	1.902	11	22792448	success
['M', 'C', 'C', 'SFF', 'M']	-16.701951	1.902	11	22792448	success
['M', 'SFF', 'C', 'C', 'M']	-16.704961	1.902	11	22792448	success
['C', 'M', 'C', 'SFF', 'M']	-16.708973	1.902	11	22792448	success
['M', 'C', 'C', 'M', 'SFF']	-16.714012	1.902	11	22792448	success
['C', 'SFF', 'C', 'SFF', 'M']	-16.717690	1.946	10	21320192	success
['M', 'M', 'C', 'RFF', 'C']	-16.720488	1.902	11	22792448	success
['C', 'SFF', 'RFF', 'M', 'C']	-16.721750	1.946	10	21320192	success
['C', 'RFF', 'C', 'SFF', 'M']	-16.731840	1.946	10	21320192	success
['C', 'M', 'M', 'C', 'RFF']	-16.737964	1.902	11	22792448	success
['RFF', 'M', 'SFF', 'C', 'C']	-16.747057	1.946	10	21320192	success
['C', 'C', 'M', 'SFF', 'SFF']	-16.748854	1.946	10	21320192	success
['C', 'SFF', 'C', 'M', 'RFF']	-16.748982	1.946	10	21320192	success
['C', 'SFF', 'M', 'C', 'M']	-16.753032	1.902	11	22792448	success
['C', 'M', 'M', 'RFF', 'C']	-16.759077	1.902	11	22792448	success
['C', 'M', 'C', 'SFF', 'RFF']	-16.761255	1.946	10	21320192	success
['M', 'C', 'RFF', 'C', 'RFF']	-16.763485	1.946	10	21320192	success
['M', 'SFF', 'C', 'SFF', 'C']	-16.766524	1.946	10	21320192	success
['RFF', 'SFF', 'M', 'C', 'C']	-16.768968	1.946	10	21320192	success
['M', 'C', 'RFF', 'C', 'M']	-16.769127	1.902	11	22792448	success
['SFF', 'RFF', 'C', 'M', 'C']	-16.771890	1.946	10	21320192	success
['C', 'C', 'M', 'RFF', 'M']	-16.776882	1.902	11	22792448	success
['C', 'RFF', 'SFF', 'M', 'C']	-16.777242	1.946	10	21320192	success
['SFF', 'C', 'SFF', 'C', 'M']	-16.778662	1.946	10	21320192	success
['M', 'C', 'C', 'SFF', 'SFF']	-16.778891	1.946	10	21320192	success
['RFF', 'RFF', 'M', 'C', 'C']	-16.790592	1.946	10	21320192	success
['M', 'RFF', 'C', 'C', 'RFF']	-16.791519	1.946	10	21320192	success
['SFF', 'RFF', 'C', 'C', 'M']	-16.793070	1.946	10	21320192	success
['C', 'SFF', 'C', 'M', 'SFF']	-16.795510	1.946	10	21320192	success
['M', 'C', 'C', 'RFF', 'RFF']	-16.804325	1.946	10	21320192	success
['C', 'SFF', 'M', 'SFF', 'C']	-16.809692	1.946	10	21320192	success
['M', 'RFF', 'C', 'C', 'M']	-16.810652	1.902	11	22792448	success
['M', 'RFF', 'C', 'C', 'SFF']	-16.811833	1.946	10	21320192	success
['C', 'M', 'RFF', 'M', 'C']	-16.815728	1.902	11	22792448	success
['SFF', 'M', 'C', 'SFF', 'C']	-16.815766	1.946	10	21320192	success
['C', 'M', 'SFF', 'RFF', 'C']	-16.816093	1.946	10	21320192	success
['RFF', 'M', 'C', 'SFF', 'C']	-16.825824	1.946	10	21320192	success
['M', 'C', 'C', 'RFF', 'SFF']	-16.830966	1.946	10	21320192	success
['M', 'RFF', 'C', 'SFF', 'C']	-16.841096	1.946	10	21320192	success
['SFF', 'C', 'C', 'RFF', 'M']	-16.841628	1.946	10	21320192	success
['SFF', 'SFF', 'C', 'C', 'M']	-16.842314	1.946	10	21320192	success
['RFF', 'C', 'M', 'C', 'SFF']	-16.844513	1.946	10	21320192	success
['RFF', 'M', 'RFF', 'C', 'C']	-16.845744	1.946	10	21320192	success
['C', 'C', 'RFF', 'M', 'RFF']	-16.846662	1.946	10	21320192	success
['SFF', 'RFF', 'M', 'C', 'C']	-16.847845	1.946	10	21320192	success
['M', 'C', 'C', 'RFF', 'M']	-16.852158	1.902	11	22792448	success
['C', 'C', 'M', 'RFF', 'SFF']	-16.853251	1.946	10	21320192	success
['C', 'M', 'SFF', 'C', 'RFF']	-16.853375	1.946	10	21320192	success
['C', 'RFF', 'M', 'RFF', 'C']	-16.853646	1.946	10	21320192	success
['C', 'C', 'SFF', 'RFF', 'M']	-16.854714	1.946	10	21320192	success
['SFF', 'C', 'RFF', 'C', 'M']	-16.855652	1.946	10	21320192	success
['SFF', 'M', 'M', 'C', 'C']	-16.857986	1.902	11	22792448	success
['C', 'C', 'M', 'RFF', 'RFF']	-16.858878	1.946	10	21320192	success
['C', 'C', 'SFF', 'SFF', 'M']	-16.862041	1.946	10	21320192	success
['M', 'RFF', 'C', 'RFF', 'C']	-16.866932	1.946	10	21320192	success
['C', 'M', 'C', 'RFF', 'RFF']	-16.868959	1.946	10	21320192	success
['RFF', 'C', 'M', 'SFF', 'C']	-16.869947	1.946	10	21320192	success
['C', 'SFF', 'C', 'RFF', 'M']	-16.876537	1.946	10	21320192	success
['M', 'C', 'SFF', 'C', 'SFF']	-16.877798	1.946	10	21320192	success
['C', 'C', 'M', 'M', 'SFF']	-16.879605	1.902	11	22792448	success
['M', 'C', 'RFF', 'RFF', 'C']	-16.882546	1.946	10	21320192	success
['SFF', 'M', 'SFF', 'C', 'C']	-16.888451	1.946	10	21320192	success
['M', 'C', 'SFF', 'SFF', 'C']	-16.891173	1.946	10	21320192	success
['C', 'M', 'RFF', 'C', 'RFF']	-16.895032	1.946	10	21320192	success
['RFF', 'M', 'M', 'C', 'C']	-16.897597	1.902	11	22792448	success
['RFF', 'C', 'C', 'M', 'RFF']	-16.899074	1.946	10	21320192	success
['C', 'SFF', 'SFF', 'M', 'C']	-16.899529	1.946	10	21320192	success
['SFF', 'C', 'M', 'C', 'RFF']	-16.900120	1.946	10	21320192	success
['C', 'RFF', 'M', 'C', 'SFF']	-16.901493	1.946	10	21320192	success
['SFF', 'C', 'C', 'SFF', 'M']	-16.901793	1.946	10	21320192	success
['SFF', 'C', 'C', 'M', 'SFF']	-16.901895	1.946	10	21320192	success
['SFF', 'C', 'M', 'RFF', 'C']	-16.904593	1.946	10	21320192	success
['C', 'SFF', 'SFF', 'C', 'M']	-16.904716	1.946	10	21320192	success
['C', 'C', 'SFF', 'M', 'SFF']	-16.904939	1.946	10	21320192	success
['C', 'RFF', 'C', 'M', 'SFF']	-16.905507	1.946	10	21320192	success
['M', 'C', 'SFF', 'RFF', 'C']	-16.907403	1.946	10	21320192	success
['C', 'M', 'RFF', 'C', 'M']	-16.911177	1.902	11	22792448	success
['SFF', 'C', 'SFF', 'M', 'C']	-16.911210	1.946	10	21320192	success
['C', 'SFF', 'RFF', 'C', 'M']	-16.917284	1.946	10	21320192	success
['SFF', 'C', 'M', 'SFF', 'C']	-16.917457	1.946	10	21320192	success
['RFF', 'C', 'C', 'RFF', 'M']	-16.920208	1.946	10	21320192	success
['M', 'SFF', 'C', 'RFF', 'C']	-16.923059	1.946	10	21320192	success
['SFF', 'M', 'C', 'C', 'RFF']	-16.923318	1.946	10	21320192	success
['C', 'RFF', 'C', 'M', 'RFF']	-16.924955	1.946	10	21320192	success
['RFF', 'C', 'M', 'C', 'RFF']	-16.937889	1.946	10	21320192	success
['RFF', 'RFF', 'C', 'C', 'M']	-16.938387	1.946	10	21320192	success
['M', 'M', 'SFF', 'C', 'C']	-16.944264	1.902	11	22792448	success
['RFF', 'C', 'SFF', 'M', 'C']	-16.944896	1.946	10	21320192	success
['RFF', 'C', 'RFF', 'C', 'M']	-16.945247	1.946	10	21320192	success
['C', 'SFF', 'M', 'C', 'RFF']	-16.950465	1.946	10	21320192	success
['M', 'RFF', 'RFF', 'C', 'C']	-16.951450	1.946	10	21320192	success
['SFF', 'M', 'C', 'C', 'SFF']	-16.956569	1.946	10	21320192	success
['C', 'M', 'C', 'RFF', 'SFF']	-16.957287	1.946	10	21320192	success
['RFF', 'C', 'C', 'SFF', 'M']	-16.959696	1.946	10	21320192	success
['SFF', 'M', 'C', 'RFF', 'C']	-16.959914	1.946	10	21320192	success
['SFF', 'SFF', 'C', 'M', 'C']	-16.970197	1.946	10	21320192	success
['C', 'RFF', 'C', 'RFF', 'M']	-16.981652	1.946	10	21320192	success
['RFF', 'RFF', 'C', 'M', 'C']	-16.981946	1.946	10	21320192	success
['C', 'RFF', 'RFF', 'M', 'C']	-16.986456	1.946	10	21320192	success
['SFF', 'C', 'C', 'M', 'RFF']	-16.990388	1.946	10	21320192	success
['C', 'M', 'RFF', 'C', 'SFF']	-17.002995	1.946	10	21320192	success
['SFF', 'C', 'M', 'C', 'SFF']	-17.003223	1.946	10	21320192	success
['M', 'SFF', 'C', 'C', 'RFF']	-17.005442	1.946	10	21320192	success
['C', 'C', 'SFF', 'M', 'RFF']	-17.010640	1.946	10	21320192	success
['M', 'C', 'SFF', 'C', 'RFF']	-17.011180	1.946	10	21320192	success
['C', 'RFF', 'SFF', 'C', 'M']	-17.021351	1.946	10	21320192	success
['C', 'C', 'RFF', 'M', 'SFF']	-17.021703	1.946	10	21320192	success
['M', 'C', 'RFF', 'SFF', 'C']	-17.067562	1.946	10	21320192	success
['C', 'M', 'SFF', 'C', 'SFF']	-17.071103	1.946	10	21320192	success
['C', 'C', 'RFF', 'RFF', 'M']	-17.074946	1.946	10	21320192	success
['C', 'M', 'RFF', 'RFF', 'C']	-17.090990	1.946	10	21320192	success
['C', 'RFF', 'M', 'C', 'RFF']	-17.092594	1.946	10	21320192	success
['RFF', 'C', 'C', 'M', 'SFF']	-17.094523	1.946	10	21320192	success
['M', 'C', 'RFF', 'C', 'SFF']	-17.095207	1.946	10	21320192	success
['RFF', 'M', 'C', 'C', 'RFF']	-17.097468	1.946	10	21320192	success
['M', 'SFF', 'RFF', 'C', 'C']	-17.104992	1.946	10	21320192	success
['M', 'SFF', 'SFF', 'C', 'C']	-17.106294	1.946	10	21320192	success
['C', 'M', 'RFF', 'SFF', 'C']	-17.110902	1.946	10	21320192	success
['SFF', 'SFF', 'M', 'C', 'C']	-17.112983	1.946	10	21320192	success
['SFF', 'M', 'RFF', 'C', 'C']	-17.114455	1.946	10	21320192	success
['RFF', 'C', 'RFF', 'M', 'C']	-17.114487	1.946	10	21320192	success
['RFF', 'C', 'M', 'RFF', 'C']	-17.114513	1.946	10	21320192	success
['C', 'M', 'C', 'SFF', 'SFF']	-17.115521	1.946	10	21320192	success
['RFF', 'M', 'C', 'RFF', 'C']	-17.118156	1.946	10	21320192	success
['C', 'SFF', 'M', 'RFF', 'C']	-17.122518	1.946	10	21320192	success
['C', 'C', 'M', 'SFF', 'RFF']	-17.147620	1.946	10	21320192	success
['RFF', 'C', 'SFF', 'C', 'M']	-17.150771	1.946	10	21320192	success
['RFF', 'SFF', 'C', 'C', 'M']	-17.153196	1.946	10	21320192	success
['M', 'C', 'C', 'SFF', 'RFF']	-17.164985	1.946	10	21320192	success
['I', 'I', 'M', 'C', 'M']	-17.184983	1.171	17	21766400	success
['RFF', 'M', 'C', 'C', 'SFF']	-17.188536	1.946	10	21320192	success
['C', 'SFF', 'M', 'C', 'SFF']	-17.206949	1.946	10	21320192	success
['SFF', 'C', 'RFF', 'M', 'C']	-17.213658	1.946	10	21320192	success
['M', 'SFF', 'C', 'C', 'SFF']	-17.224588	1.946	10	21320192	success
['RFF', 'SFF', 'C', 'M', 'C']	-17.239717	1.946	10	21320192	success
['C', 'M', 'SFF', 'SFF', 'C']	-17.251908	1.946	10	21320192	success
['C', 'RFF', 'RFF', 'C', 'M']	-17.252657	1.946	10	21320192	success
['C', 'RFF', 'M', 'SFF', 'C']	-17.360065	1.946	10	21320192	success
['I', 'I', 'C', 'M', 'M']	-17.431602	1.171	17	21766400	success
['I', 'I', 'C', 'M', 'SFF']	-17.509505	1.214	16	21286400	success
['I', 'I', 'M', 'C', 'RFF']	-17.533758	1.214	16	21286400	success
['I', 'I', 'M', 'M', 'C']	-17.662944	1.171	17	21766400	success
['I', 'I', 'C', 'M', 'RFF']	-17.746344	1.214	16	21286400	success
['I', 'I', 'RFF', 'M', 'C']	-17.808523	1.214	16	21286400	success
['I', 'I', 'C', 'RFF', 'M']	-17.965717	1.214	16	21286400	success
['I', 'I', 'RFF', 'C', 'M']	-17.969630	1.214	16	21286400	success
['I', 'I', 'M', 'C', 'SFF']	-18.037548	1.214	16	21286400	success
['I', 'I', 'M', 'SFF', 'C']	-18.072815	1.214	16	21286400	success
['I', 'I', 'M', 'RFF', 'C']	-18.073867	1.214	16	21286400	success
['I', 'I', 'C', 'SFF', 'M']	-18.236528	1.214	16	21286400	success
['I', 'I', 'SFF', 'M', 'C']	-18.454755	1.214	16	21286400	success
['I', 'I', 'SFF', 'C', 'M']	-18.482309	1.214	16	21286400	success
['I', 'C', 'M', 'SFF', 'M']	-18.803869	1.696	12	22218240	success
['I', 'C', 'RFF', 'SFF', 'M']	-18.837435	1.740	11	20995840	success
['I', 'SFF', 'M', 'RFF', 'C']	-19.007357	1.740	11	20995840	success
['I', 'RFF', 'SFF', 'M', 'C']	-19.237315	1.740	11	20995840	success
['I', 'C', 'M', 'M', 'RFF']	-19.243804	1.696	12	22218240	success
['I', 'M', 'C', 'M', 'SFF']	-19.257255	1.696	12	22218240	success
['I', 'M', 'SFF', 'C', 'SFF']	-19.401138	1.740	11	20995840	success
['RFF', 'RFF', 'M', 'M', 'C']	-19.425248	2.222	9	21858048	success
['SFF', 'M', 'RFF', 'C', 'M']	-19.501757	2.222	9	21858048	success
['RFF', 'C', 'M', 'SFF', 'RFF']	-19.502528	2.265	9	22247424	success
['I', 'M', 'C', 'SFF', 'M']	-19.504165	1.696	12	22218240	success
['I', 'M', 'RFF', 'SFF', 'C']	-19.523478	1.740	11	20995840	success
['I', 'RFF', 'C', 'M', 'M']	-19.527419	1.696	12	22218240	success
['I', 'SFF', 'M', 'SFF', 'C']	-19.530471	1.740	11	20995840	success
['C', 'SFF', 'M', 'M', 'RFF']	-19.584331	2.222	9	21858048	success
['I', 'RFF', 'M', 'C', 'RFF']	-19.585801	1.740	11	20995840	success
['I', 'SFF', 'C', 'M', 'M']	-19.702115	1.696	12	22218240	success
['M', 'M', 'SFF', 'C', 'RFF']	-19.719401	2.222	9	21858048	success
['I', 'M', 'RFF', 'C', 'RFF']	-19.762113	1.740	11	20995840	success
['RFF', 'M', 'RFF', 'C', 'M']	-19.776251	2.222	9	21858048	success
['M', 'SFF', 'C', 'SFF', 'M']	-19.805491	2.222	9	21858048	success
['I', 'SFF', 'C', 'SFF', 'M']	-19.824889	1.740	11	20995840	success
['SFF', 'SFF', 'C', 'SFF', 'M']	-19.854945	2.265	9	22247424	success
['I', 'C', 'M', 'SFF', 'RFF']	-19.855351	1.740	11	20995840	success
['C', 'RFF', 'SFF', 'M', 'SFF']	-19.873525	2.265	9	22247424	success
['C', 'RFF', 'RFF', 'M', 'RFF']	-19.884013	2.265	9	22247424	success
['I', 'M', 'M', 'C', 'SFF']	-19.894765	1.696	12	22218240	success
['I', 'RFF', 'M', 'C', 'M']	-19.895690	1.696	12	22218240	success
['I', 'M', 'C', 'RFF', 'M']	-19.914083	1.696	12	22218240	success
['C', 'SFF', 'M', 'RFF', 'RFF']	-19.946510	2.265	9	22247424	success
['RFF', 'M', 'M', 'SFF', 'C']	-19.955300	2.222	9	21858048	success
['C', 'M', 'RFF', 'SFF', 'SFF']	-19.981615	2.265	9	22247424	success
['C', 'M', 'RFF', 'RFF', 'RFF']	-19.983140	2.265	9	22247424	success
['I', 'C', 'M', 'M', 'SFF']	-20.006521	1.696	12	22218240	success
['I', 'M', 'SFF', 'M', 'C']	-20.009149	1.696	12	22218240	success
['M', 'RFF', 'SFF', 'C', 'SFF']	-20.020258	2.265	9	22247424	success
['M', 'RFF', 'M', 'C', 'RFF']	-20.038496	2.222	9	21858048	success
['M', 'M', 'C', 'RFF', 'RFF']	-20.044205	2.222	9	21858048	success
['M', 'C', 'SFF', 'M', 'SFF']	-20.069432	2.222	9	21858048	success
['SFF', 'M', 'C', 'M', 'RFF']	-20.081687	2.222	9	21858048	success
['I', 'C', 'SFF', 'M', 'SFF']	-20.085697	1.740	11	20995840	success
['I', 'SFF', 'M', 'M', 'C']	-20.112914	1.696	12	22218240	success
['RFF', 'RFF', 'M', 'C', 'SFF']	-20.139244	2.265	9	22247424	success
['M', 'SFF', 'SFF', 'M', 'C']	-20.161432	2.222	9	21858048	success
['I', 'SFF', 'SFF', 'C', 'M']	-20.163765	1.740	11	20995840	success
['I', 'SFF', 'M', 'C', 'SFF']	-20.164988	1.740	11	20995840	success
['SFF', 'M', 'C', 'M', 'SFF']	-20.168107	2.222	9	21858048	success
['M', 'SFF', 'C', 'SFF', 'RFF']	-20.168946	2.265	9	22247424	success
['M', 'RFF', 'C', 'M', 'SFF']	-20.186097	2.222	9	21858048	success
['C', 'M', 'SFF', 'SFF', 'M']	-20.224259	2.222	9	21858048	success
['M', 'M', 'C', 'RFF', 'SFF']	-20.236459	2.222	9	21858048	success
['M', 'SFF', 'RFF', 'C', 'SFF']	-20.238780	2.265	9	22247424	success
