# Format: module_config	synflow_score	num_params	N of Blocks	total_params	status
['I', 'C', 'RFF', 'SFF', 'M']	0.002385	1.740	11	20995840	success
['I', 'I', 'M', 'SFF', 'M']	0.002384	1.490	13	21230848	success
['I', 'M', 'RFF', 'RFF', 'C']	0.002383	1.740	11	20995840	success
['I', 'I', 'M', 'SFF', 'C']	0.002383	1.214	16	21286400	success
['I', 'C', 'SFF', 'M', 'RFF']	0.002383	1.740	11	20995840	success
['I', 'SFF', 'C', 'M', 'RFF']	0.002383	1.740	11	20995840	success
['I', 'M', 'C', 'SFF', 'RFF']	0.002381	1.740	11	20995840	success
['RFF', 'C', 'C', 'M', 'SFF']	0.002381	1.946	10	21320192	success
['I', 'RFF', 'SFF', 'M', 'C']	0.002381	1.740	11	20995840	success
['I', 'C', 'SFF', 'SFF', 'M']	0.002380	1.740	11	20995840	success
['I', 'RFF', 'C', 'M', 'RFF']	0.002379	1.740	11	20995840	success
['I', 'M', 'RFF', 'C', 'SFF']	0.002379	1.740	11	20995840	success
['I', 'I', 'SFF', 'M', 'M']	0.002379	1.490	13	21230848	success
['I', 'SFF', 'SFF', 'M', 'C']	0.002379	1.740	11	20995840	success
['RFF', 'M', 'RFF', 'C', 'C']	0.002379	1.946	10	21320192	success
['I', 'M', 'RFF', 'C', 'RFF']	0.002378	1.740	11	20995840	success
['I', 'M', 'SFF', 'SFF', 'C']	0.002378	1.740	11	20995840	success
['SFF', 'C', 'SFF', 'M', 'C']	0.002376	1.946	10	21320192	success
['C', 'C', 'C', 'M', 'C']	0.002376	1.307	15	21476352	success
['C', 'M', 'SFF', 'C', 'RFF']	0.002375	1.946	10	21320192	success
['I', 'I', 'SFF', 'C', 'M']	0.002375	1.214	16	21286400	success
['C', 'RFF', 'M', 'RFF', 'C']	0.002375	1.946	10	21320192	success
['I', 'M', 'C', 'RFF', 'RFF']	0.002375	1.740	11	20995840	success
['I', 'M', 'C', 'SFF', 'SFF']	0.002374	1.740	11	20995840	success
['C', 'C', 'M', 'RFF', 'C']	0.002373	1.626	12	21382656	success
['C', 'C', 'SFF', 'M', 'RFF']	0.002372	1.946	10	21320192	success
['I', 'I', 'M', 'C', 'C']	0.002372	0.894	22	21550592	success
['SFF', 'C', 'C', 'RFF', 'M']	0.002372	1.946	10	21320192	success
['M', 'C', 'RFF', 'RFF', 'C']	0.002372	1.946	10	21320192	success
['SFF', 'M', 'SFF', 'C', 'C']	0.002371	1.946	10	21320192	success
['I', 'M', 'SFF', 'RFF', 'C']	0.002371	1.740	11	20995840	success
['I', 'C', 'M', 'RFF', 'SFF']	0.002371	1.740	11	20995840	success
['I', 'SFF', 'M', 'SFF', 'C']	0.002371	1.740	11	20995840	success
['SFF', 'M', 'C', 'C', 'SFF']	0.002370	1.946	10	21320192	success
['I', 'SFF', 'M', 'RFF', 'C']	0.002370	1.740	11	20995840	success
['SFF', 'RFF', 'C', 'M', 'C']	0.002369	1.946	10	21320192	success
['C', 'C', 'SFF', 'SFF', 'M']	0.002369	1.946	10	21320192	success
['C', 'SFF', 'C', 'C', 'M']	0.002369	1.626	12	21382656	success
['RFF', 'M', 'C', 'SFF', 'C']	0.002368	1.946	10	21320192	success
['I', 'RFF', 'M', 'C', 'RFF']	0.002368	1.740	11	20995840	success
['I', 'I', 'C', 'M', 'RFF']	0.002367	1.214	16	21286400	success
['I', 'RFF', 'M', 'C', 'SFF']	0.002367	1.740	11	20995840	success
['I', 'I', 'C', 'M', 'SFF']	0.002367	1.214	16	21286400	success
['I', 'RFF', 'M', 'RFF', 'C']	0.002366	1.740	11	20995840	success
['M', 'C', 'RFF', 'SFF', 'C']	0.002366	1.946	10	21320192	success
['C', 'M', 'SFF', 'SFF', 'C']	0.002366	1.946	10	21320192	success
['M', 'C', 'SFF', 'C', 'SFF']	0.002366	1.946	10	21320192	success
['I', 'SFF', 'M', 'C', 'SFF']	0.002366	1.740	11	20995840	success
['M', 'SFF', 'SFF', 'C', 'C']	0.002365	1.946	10	21320192	success
['C', 'RFF', 'SFF', 'C', 'M']	0.002365	1.946	10	21320192	success
['C', 'RFF', 'M', 'SFF', 'C']	0.002365	1.946	10	21320192	success
['SFF', 'C', 'RFF', 'M', 'C']	0.002364	1.946	10	21320192	success
['SFF', 'C', 'C', 'SFF', 'M']	0.002364	1.946	10	21320192	success
['M', 'SFF', 'C', 'C', 'RFF']	0.002364	1.946	10	21320192	success
['C', 'C', 'SFF', 'M', 'C']	0.002364	1.626	12	21382656	success
['I', 'RFF', 'RFF', 'C', 'M']	0.002364	1.740	11	20995840	success
['C', 'SFF', 'M', 'RFF', 'C']	0.002364	1.946	10	21320192	success
['I', 'SFF', 'C', 'RFF', 'M']	0.002363	1.740	11	20995840	success
['I', 'M', 'C', 'RFF', 'SFF']	0.002363	1.740	11	20995840	success
['C', 'C', 'SFF', 'M', 'SFF']	0.002363	1.946	10	21320192	success
['SFF', 'C', 'RFF', 'C', 'M']	0.002362	1.946	10	21320192	success
['C', 'M', 'RFF', 'C', 'SFF']	0.002362	1.946	10	21320192	success
['I', 'I', 'M', 'C', 'RFF']	0.002362	1.214	16	21286400	success
['M', 'SFF', 'C', 'C', 'C']	0.002362	1.626	12	21382656	success
['I', 'I', 'M', 'M', 'SFF']	0.002362	1.490	13	21230848	success
['I', 'C', 'M', 'SFF', 'RFF']	0.002361	1.740	11	20995840	success
['M', 'C', 'C', 'RFF', 'C']	0.002361	1.626	12	21382656	success
['SFF', 'RFF', 'C', 'C', 'M']	0.002361	1.946	10	21320192	success
['I', 'M', 'SFF', 'C', 'SFF']	0.002361	1.740	11	20995840	success
['SFF', 'M', 'C', 'C', 'RFF']	0.002360	1.946	10	21320192	success
['SFF', 'C', 'C', 'M', 'SFF']	0.002360	1.946	10	21320192	success
['M', 'RFF', 'SFF', 'C', 'C']	0.002360	1.946	10	21320192	success
['RFF', 'C', 'M', 'SFF', 'C']	0.002359	1.946	10	21320192	success
['M', 'C', 'C', 'C', 'SFF']	0.002359	1.626	12	21382656	success
['I', 'I', 'M', 'C', 'SFF']	0.002359	1.214	16	21286400	success
['C', 'SFF', 'C', 'M', 'SFF']	0.002359	1.946	10	21320192	success
['C', 'M', 'C', 'SFF', 'SFF']	0.002359	1.946	10	21320192	success
['C', 'M', 'SFF', 'RFF', 'C']	0.002358	1.946	10	21320192	success
['I', 'I', 'M', 'M', 'C']	0.002358	1.171	17	21766400	success
['I', 'C', 'RFF', 'M', 'SFF']	0.002357	1.740	11	20995840	success
['RFF', 'C', 'C', 'SFF', 'M']	0.002357	1.946	10	21320192	success
['I', 'I', 'C', 'M', 'C']	0.002357	0.894	22	21550592	success
['M', 'C', 'C', 'C', 'RFF']	0.002357	1.626	12	21382656	success
['C', 'RFF', 'M', 'C', 'RFF']	0.002357	1.946	10	21320192	success
['M', 'C', 'RFF', 'C', 'RFF']	0.002357	1.946	10	21320192	success
['C', 'C', 'SFF', 'RFF', 'M']	0.002357	1.946	10	21320192	success
['SFF', 'C', 'M', 'C', 'SFF']	0.002356	1.946	10	21320192	success
['M', 'C', 'SFF', 'RFF', 'C']	0.002356	1.946	10	21320192	success
['C', 'RFF', 'M', 'C', 'SFF']	0.002356	1.946	10	21320192	success
['C', 'M', 'RFF', 'C', 'C']	0.002356	1.626	12	21382656	success
['C', 'C', 'RFF', 'C', 'M']	0.002356	1.626	12	21382656	success
['C', 'M', 'C', 'RFF', 'C']	0.002355	1.626	12	21382656	success
['C', 'C', 'M', 'C', 'C']	0.002355	1.307	15	21476352	success
['RFF', 'C', 'SFF', 'C', 'M']	0.002354	1.946	10	21320192	success
['C', 'C', 'C', 'RFF', 'M']	0.002354	1.626	12	21382656	success
['I', 'I', 'C', 'SFF', 'M']	0.002354	1.214	16	21286400	success
['M', 'RFF', 'C', 'C', 'C']	0.002354	1.626	12	21382656	success
['C', 'SFF', 'SFF', 'C', 'M']	0.002353	1.946	10	21320192	success
['M', 'SFF', 'M', 'SFF', 'C']	0.002353	2.222	9	21858048	success
['C', 'C', 'M', 'RFF', 'RFF']	0.002352	1.946	10	21320192	success
['M', 'C', 'SFF', 'RFF', 'M']	0.002352	2.222	9	21858048	success
['SFF', 'C', 'M', 'C', 'C']	0.002352	1.626	12	21382656	success
['M', 'SFF', 'C', 'RFF', 'C']	0.002352	1.946	10	21320192	success
['C', 'C', 'M', 'C', 'SFF']	0.002352	1.626	12	21382656	success
['C', 'M', 'RFF', 'SFF', 'C']	0.002352	1.946	10	21320192	success
['I', 'I', 'C', 'RFF', 'M']	0.002351	1.214	16	21286400	success
['RFF', 'C', 'M', 'C', 'RFF']	0.002351	1.946	10	21320192	success
['RFF', 'C', 'C', 'M', 'RFF']	0.002351	1.946	10	21320192	success
['RFF', 'RFF', 'M', 'C', 'C']	0.002351	1.946	10	21320192	success
['C', 'RFF', 'C', 'M', 'C']	0.002350	1.626	12	21382656	success
['C', 'SFF', 'M', 'C', 'C']	0.002350	1.626	12	21382656	success
['I', 'I', 'I', 'C', 'M']	0.002350	0.688	29	21831424	success
['C', 'C', 'M', 'SFF', 'RFF']	0.002350	1.946	10	21320192	success
['SFF', 'C', 'M', 'C', 'RFF']	0.002349	1.946	10	21320192	success
['I', 'M', 'SFF', 'C', 'RFF']	0.002349	1.740	11	20995840	success
['SFF', 'RFF', 'M', 'C', 'C']	0.002348	1.946	10	21320192	success
['RFF', 'C', 'C', 'M', 'C']	0.002348	1.626	12	21382656	success
['M', 'C', 'RFF', 'C', 'C']	0.002348	1.626	12	21382656	success
['C', 'M', 'C', 'C', 'RFF']	0.002348	1.626	12	21382656	success
['C', 'C', 'M', 'SFF', 'C']	0.002348	1.626	12	21382656	success
['C', 'C', 'RFF', 'M', 'SFF']	0.002347	1.946	10	21320192	success
['C', 'C', 'RFF', 'M', 'RFF']	0.002347	1.946	10	21320192	success
['SFF', 'SFF', 'C', 'C', 'M']	0.002347	1.946	10	21320192	success
['SFF', 'M', 'C', 'RFF', 'C']	0.002346	1.946	10	21320192	success
['SFF', 'C', 'C', 'C', 'M']	0.002346	1.626	12	21382656	success
['M', 'RFF', 'C', 'C', 'SFF']	0.002345	1.946	10	21320192	success
['RFF', 'SFF', 'C', 'C', 'M']	0.002345	1.946	10	21320192	success
['I', 'I', 'C', 'C', 'M']	0.002345	0.894	22	21550592	success
['RFF', 'RFF', 'C', 'C', 'M']	0.002345	1.946	10	21320192	success
['I', 'C', 'M', 'C', 'C']	0.002345	1.101	18	21685248	success
['C', 'SFF', 'C', 'M', 'C']	0.002344	1.626	12	21382656	success
['M', 'C', 'C', 'SFF', 'RFF']	0.002344	1.946	10	21320192	success
['RFF', 'C', 'RFF', 'C', 'M']	0.002344	1.946	10	21320192	success
['SFF', 'M', 'C', 'SFF', 'C']	0.002344	1.946	10	21320192	success
['C', 'C', 'C', 'C', 'M']	0.002344	1.307	15	21476352	success
['C', 'RFF', 'C', 'M', 'SFF']	0.002344	1.946	10	21320192	success
['C', 'RFF', 'C', 'RFF', 'M']	0.002344	1.946	10	21320192	success
['C', 'M', 'C', 'RFF', 'SFF']	0.002343	1.946	10	21320192	success
['I', 'C', 'SFF', 'RFF', 'M']	0.002343	1.740	11	20995840	success
['RFF', 'SFF', 'C', 'M', 'C']	0.002343	1.946	10	21320192	success
['C', 'C', 'SFF', 'C', 'M']	0.002342	1.626	12	21382656	success
['SFF', 'SFF', 'C', 'M', 'C']	0.002342	1.946	10	21320192	success
['RFF', 'M', 'C', 'RFF', 'C']	0.002342	1.946	10	21320192	success
['C', 'C', 'C', 'M', 'SFF']	0.002342	1.626	12	21382656	success
['RFF', 'RFF', 'C', 'M', 'C']	0.002342	1.946	10	21320192	success
['SFF', 'C', 'M', 'RFF', 'C']	0.002341	1.946	10	21320192	success
['RFF', 'C', 'M', 'C', 'SFF']	0.002340	1.946	10	21320192	success
['C', 'M', 'RFF', 'RFF', 'C']	0.002340	1.946	10	21320192	success
['I', 'I', 'SFF', 'M', 'C']	0.002339	1.214	16	21286400	success
['M', 'SFF', 'C', 'SFF', 'C']	0.002339	1.946	10	21320192	success
['RFF', 'C', 'M', 'C', 'C']	0.002339	1.626	12	21382656	success
['RFF', 'C', 'C', 'RFF', 'M']	0.002339	1.946	10	21320192	success
['C', 'SFF', 'C', 'M', 'RFF']	0.002339	1.946	10	21320192	success
['M', 'SFF', 'C', 'C', 'SFF']	0.002338	1.946	10	21320192	success
['RFF', 'SFF', 'C', 'M', 'M']	0.002338	2.222	9	21858048	success
['SFF', 'M', 'SFF', 'C', 'M']	0.002338	2.222	9	21858048	success
['C', 'RFF', 'RFF', 'M', 'M']	0.002338	2.222	9	21858048	success
['C', 'SFF', 'M', 'C', 'SFF']	0.002337	1.946	10	21320192	success
['SFF', 'M', 'RFF', 'C', 'M']	0.002337	2.222	9	21858048	success
['RFF', 'M', 'C', 'C', 'C']	0.002337	1.626	12	21382656	success
['C', 'C', 'C', 'SFF', 'M']	0.002337	1.626	12	21382656	success
['SFF', 'M', 'RFF', 'C', 'C']	0.002336	1.946	10	21320192	success
['C', 'M', 'C', 'C', 'SFF']	0.002336	1.626	12	21382656	success
['I', 'I', 'M', 'RFF', 'C']	0.002336	1.214	16	21286400	success
['C', 'C', 'RFF', 'M', 'C']	0.002336	1.626	12	21382656	success
['I', 'SFF', 'RFF', 'M', 'C']	0.002335	1.740	11	20995840	success
['M', 'RFF', 'RFF', 'C', 'C']	0.002335	1.946	10	21320192	success
['RFF', 'M', 'SFF', 'C', 'C']	0.002335	1.946	10	21320192	success
['M', 'C', 'SFF', 'C', 'RFF']	0.002335	1.946	10	21320192	success
['SFF', 'C', 'M', 'RFF', 'M']	0.002333	2.222	9	21858048	success
['C', 'SFF', 'M', 'RFF', 'M']	0.002333	2.222	9	21858048	success
['I', 'C', 'M', 'RFF', 'C']	0.002333	1.420	14	21747712	success
['C', 'M', 'C', 'SFF', 'RFF']	0.002332	1.946	10	21320192	success
['SFF', 'C', 'M', 'SFF', 'C']	0.002332	1.946	10	21320192	success
['M', 'RFF', 'M', 'C', 'RFF']	0.002332	2.222	9	21858048	success
['C', 'M', 'C', 'SFF', 'C']	0.002332	1.626	12	21382656	success
['C', 'C', 'M', 'SFF', 'SFF']	0.002332	1.946	10	21320192	success
['RFF', 'C', 'M', 'RFF', 'C']	0.002332	1.946	10	21320192	success
['C', 'C', 'M', 'RFF', 'SFF']	0.002332	1.946	10	21320192	success
['M', 'SFF', 'RFF', 'C', 'C']	0.002332	1.946	10	21320192	success
['C', 'SFF', 'SFF', 'M', 'C']	0.002331	1.946	10	21320192	success
['M', 'C', 'SFF', 'C', 'C']	0.002331	1.626	12	21382656	success
['SFF', 'C', 'M', 'M', 'RFF']	0.002331	2.222	9	21858048	success
['SFF', 'C', 'SFF', 'C', 'M']	0.002330	1.946	10	21320192	success
['C', 'RFF', 'C', 'C', 'M']	0.002330	1.626	12	21382656	success
['C', 'RFF', 'M', 'C', 'C']	0.002330	1.626	12	21382656	success
['C', 'M', 'RFF', 'C', 'RFF']	0.002330	1.946	10	21320192	success
['C', 'C', 'RFF', 'SFF', 'M']	0.002329	1.946	10	21320192	success
['I', 'C', 'C', 'M', 'C']	0.002329	1.101	18	21685248	success
['SFF', 'C', 'RFF', 'M', 'M']	0.002329	2.222	9	21858048	success
['C', 'SFF', 'RFF', 'M', 'M']	0.002329	2.222	9	21858048	success
['I', 'I', 'I', 'M', 'M']	0.002328	0.965	21	22116864	success
['I', 'C', 'M', 'C', 'SFF']	0.002328	1.420	14	21747712	success
['C', 'C', 'RFF', 'RFF', 'M']	0.002328	1.946	10	21320192	success
['RFF', 'C', 'RFF', 'M', 'C']	0.002328	1.946	10	21320192	success
['M', 'C', 'C', 'SFF', 'SFF']	0.002328	1.946	10	21320192	success
['RFF', 'M', 'C', 'C', 'RFF']	0.002328	1.946	10	21320192	success
['M', 'C', 'RFF', 'C', 'SFF']	0.002328	1.946	10	21320192	success
['M', 'RFF', 'M', 'SFF', 'C']	0.002328	2.222	9	21858048	success
['RFF', 'M', 'C', 'C', 'SFF']	0.002328	1.946	10	21320192	success
['M', 'C', 'C', 'RFF', 'SFF']	0.002327	1.946	10	21320192	success
['RFF', 'SFF', 'M', 'M', 'C']	0.002327	2.222	9	21858048	success
['RFF', 'M', 'C', 'M', 'SFF']	0.002327	2.222	9	21858048	success
['RFF', 'C', 'C', 'C', 'M']	0.002327	1.626	12	21382656	success
['C', 'C', 'C', 'M', 'RFF']	0.002326	1.626	12	21382656	success
['M', 'C', 'C', 'RFF', 'RFF']	0.002326	1.946	10	21320192	success
['C', 'M', 'RFF', 'RFF', 'M']	0.002326	2.222	9	21858048	success
['C', 'C', 'M', 'C', 'RFF']	0.002325	1.626	12	21382656	success
['RFF', 'M', 'RFF', 'M', 'C']	0.002325	2.222	9	21858048	success
['I', 'I', 'C', 'M', 'M']	0.002325	1.171	17	21766400	success
['I', 'RFF', 'C', 'M', 'C']	0.002325	1.420	14	21747712	success
['I', 'RFF', 'M', 'C', 'C']	0.002325	1.420	14	21747712	success
['I', 'SFF', 'M', 'M', 'SFF']	0.002325	2.016	10	22016512	success
['RFF', 'C', 'SFF', 'M', 'M']	0.002324	2.222	9	21858048	success
['SFF', 'SFF', 'M', 'C', 'C']	0.002324	1.946	10	21320192	success
['C', 'M', 'C', 'RFF', 'RFF']	0.002324	1.946	10	21320192	success
['RFF', 'M', 'SFF', 'M', 'C']	0.002324	2.222	9	21858048	success
['SFF', 'C', 'C', 'M', 'C']	0.002324	1.626	12	21382656	success
['RFF', 'C', 'M', 'SFF', 'M']	0.002324	2.222	9	21858048	success
['I', 'SFF', 'C', 'M', 'C']	0.002324	1.420	14	21747712	success
['M', 'C', 'SFF', 'SFF', 'C']	0.002323	1.946	10	21320192	success
['C', 'M', 'C', 'C', 'C']	0.002323	1.307	15	21476352	success
['I', 'C', 'C', 'M', 'SFF']	0.002323	1.420	14	21747712	success
['I', 'RFF', 'C', 'C', 'M']	0.002323	1.420	14	21747712	success
['RFF', 'C', 'SFF', 'M', 'C']	0.002323	1.946	10	21320192	success
['C', 'M', 'SFF', 'C', 'SFF']	0.002322	1.946	10	21320192	success
['RFF', 'M', 'C', 'RFF', 'M']	0.002321	2.222	9	21858048	success
['I', 'C', 'RFF', 'C', 'M']	0.002321	1.420	14	21747712	success
['C', 'SFF', 'C', 'SFF', 'M']	0.002321	1.946	10	21320192	success
['C', 'RFF', 'C', 'SFF', 'M']	0.002320	1.946	10	21320192	success
['M', 'SFF', 'RFF', 'C', 'M']	0.002320	2.222	9	21858048	success
['M', 'M', 'C', 'SFF', 'RFF']	0.002320	2.222	9	21858048	success
['M', 'M', 'RFF', 'RFF', 'C']	0.002319	2.222	9	21858048	success
['M', 'RFF', 'C', 'C', 'RFF']	0.002319	1.946	10	21320192	success
['I', 'M', 'M', 'RFF', 'RFF']	0.002319	2.016	10	22016512	success
['C', 'M', 'RFF', 'SFF', 'M']	0.002319	2.222	9	21858048	success
['SFF', 'M', 'RFF', 'M', 'C']	0.002319	2.222	9	21858048	success
['C', 'SFF', 'M', 'C', 'RFF']	0.002319	1.946	10	21320192	success
['C', 'RFF', 'SFF', 'M', 'M']	0.002319	2.222	9	21858048	success
['M', 'SFF', 'C', 'SFF', 'M']	0.002318	2.222	9	21858048	success
['M', 'SFF', 'SFF', 'M', 'C']	0.002318	2.222	9	21858048	success
['C', 'SFF', 'SFF', 'M', 'M']	0.002318	2.222	9	21858048	success
['M', 'C', 'RFF', 'SFF', 'M']	0.002317	2.222	9	21858048	success
['SFF', 'C', 'C', 'M', 'RFF']	0.002316	1.946	10	21320192	success
['C', 'M', 'SFF', 'M', 'SFF']	0.002316	2.222	9	21858048	success
['RFF', 'RFF', 'M', 'M', 'C']	0.002316	2.222	9	21858048	success
['M', 'C', 'RFF', 'RFF', 'M']	0.002316	2.222	9	21858048	success
['M', 'C', 'C', 'SFF', 'C']	0.002315	1.626	12	21382656	success
['SFF', 'M', 'M', 'C', 'SFF']	0.002315	2.222	9	21858048	success
['I', 'C', 'C', 'M', 'RFF']	0.002315	1.420	14	21747712	success
['RFF', 'M', 'M', 'C', 'SFF']	0.002315	2.222	9	21858048	success
['C', 'SFF', 'C', 'RFF', 'M']	0.002315	1.946	10	21320192	success
['RFF', 'M', 'C', 'SFF', 'M']	0.002315	2.222	9	21858048	success
['I', 'C', 'RFF', 'M', 'M']	0.002315	1.696	12	22218240	success
['SFF', 'M', 'C', 'SFF', 'M']	0.002315	2.222	9	21858048	success
['RFF', 'SFF', 'M', 'C', 'C']	0.002314	1.946	10	21320192	success
['I', 'C', 'C', 'C', 'M']	0.002314	1.101	18	21685248	success
['I', 'I', 'SFF', 'M', 'RFF']	0.002314	1.533	13	21793280	success
['M', 'RFF', 'M', 'C', 'SFF']	0.002314	2.222	9	21858048	success
['M', 'C', 'SFF', 'M', 'SFF']	0.002314	2.222	9	21858048	success
['M', 'RFF', 'RFF', 'M', 'C']	0.002314	2.222	9	21858048	success
['M', 'C', 'RFF', 'M', 'RFF']	0.002313	2.222	9	21858048	success
['SFF', 'RFF', 'C', 'M', 'M']	0.002313	2.222	9	21858048	success
['I', 'I', 'M', 'C', 'M']	0.002313	1.171	17	21766400	success
['C', 'SFF', 'RFF', 'M', 'C']	0.002313	1.946	10	21320192	success
['M', 'M', 'RFF', 'SFF', 'C']	0.002313	2.222	9	21858048	success
['SFF', 'SFF', 'M', 'M', 'C']	0.002312	2.222	9	21858048	success
['C', 'SFF', 'M', 'SFF', 'C']	0.002312	1.946	10	21320192	success
['M', 'RFF', 'C', 'M', 'SFF']	0.002312	2.222	9	21858048	success
['RFF', 'SFF', 'M', 'C', 'M']	0.002312	2.222	9	21858048	success
['C', 'SFF', 'M', 'SFF', 'M']	0.002311	2.222	9	21858048	success
['I', 'SFF', 'M', 'C', 'C']	0.002311	1.420	14	21747712	success
['C', 'M', 'RFF', 'M', 'RFF']	0.002311	2.222	9	21858048	success
['SFF', 'C', 'M', 'M', 'SFF']	0.002311	2.222	9	21858048	success
['I', 'M', 'C', 'SFF', 'C']	0.002311	1.420	14	21747712	success
['RFF', 'M', 'M', 'C', 'RFF']	0.002310	2.222	9	21858048	success
['M', 'C', 'SFF', 'SFF', 'M']	0.002310	2.222	9	21858048	success
['RFF', 'C', 'M', 'RFF', 'M']	0.002310	2.222	9	21858048	success
['M', 'SFF', 'C', 'M', 'SFF']	0.002310	2.222	9	21858048	success
['C', 'M', 'RFF', 'M', 'SFF']	0.002310	2.222	9	21858048	success
['I', 'C', 'M', 'C', 'RFF']	0.002309	1.420	14	21747712	success
['I', 'I', 'M', 'RFF', 'SFF']	0.002309	1.533	13	21793280	success
['I', 'SFF', 'C', 'C', 'M']	0.002308	1.420	14	21747712	success
['C', 'RFF', 'M', 'M', 'RFF']	0.002308	2.222	9	21858048	success
['M', 'SFF', 'RFF', 'M', 'C']	0.002308	2.222	9	21858048	success
['I', 'I', 'M', 'SFF', 'SFF']	0.002308	1.533	13	21793280	success
['I', 'I', 'I', 'RFF', 'M']	0.002308	1.008	20	22016512	success
['M', 'M', 'RFF', 'C', 'RFF']	0.002307	2.222	9	21858048	success
['RFF', 'C', 'M', 'M', 'SFF']	0.002307	2.222	9	21858048	success
['C', 'M', 'M', 'RFF', 'RFF']	0.002307	2.222	9	21858048	success
['M', 'C', 'RFF', 'M', 'SFF']	0.002307	2.222	9	21858048	success
['M', 'RFF', 'C', 'RFF', 'C']	0.002306	1.946	10	21320192	success
['SFF', 'M', 'C', 'M', 'SFF']	0.002306	2.222	9	21858048	success
['SFF', 'M', 'SFF', 'M', 'C']	0.002306	2.222	9	21858048	success
['M', 'C', 'C', 'C', 'C']	0.002306	1.307	15	21476352	success
['C', 'RFF', 'SFF', 'M', 'C']	0.002306	1.946	10	21320192	success
['RFF', 'RFF', 'M', 'C', 'M']	0.002306	2.222	9	21858048	success
['M', 'M', 'SFF', 'SFF', 'RFF']	0.002305	2.541	8	22189568	success
['I', 'I', 'SFF', 'M', 'SFF']	0.002305	1.533	13	21793280	success
['M', 'RFF', 'C', 'M', 'RFF']	0.002305	2.222	9	21858048	success
['I', 'C', 'C', 'SFF', 'M']	0.002304	1.420	14	21747712	success
['M', 'C', 'M', 'RFF', 'RFF']	0.002304	2.222	9	21858048	success
['C', 'M', 'SFF', 'RFF', 'M']	0.002304	2.222	9	21858048	success
['M', 'RFF', 'RFF', 'C', 'M']	0.002304	2.222	9	21858048	success
['I', 'M', 'C', 'C', 'C']	0.002304	1.101	18	21685248	success
['I', 'M', 'M', 'SFF', 'RFF']	0.002304	2.016	10	22016512	success
['I', 'C', 'SFF', 'M', 'C']	0.002303	1.420	14	21747712	success
['RFF', 'C', 'M', 'M', 'RFF']	0.002303	2.222	9	21858048	success
['I', 'I', 'RFF', 'M', 'SFF']	0.002303	1.533	13	21793280	success
['M', 'M', 'SFF', 'C', 'RFF']	0.002303	2.222	9	21858048	success
['M', 'RFF', 'C', 'SFF', 'M']	0.002303	2.222	9	21858048	success
['SFF', 'SFF', 'M', 'C', 'M']	0.002303	2.222	9	21858048	success
['I', 'M', 'SFF', 'M', 'RFF']	0.002303	2.016	10	22016512	success
['I', 'SFF', 'M', 'M', 'RFF']	0.002302	2.016	10	22016512	success
['SFF', 'M', 'C', 'M', 'RFF']	0.002302	2.222	9	21858048	success
['SFF', 'RFF', 'M', 'C', 'M']	0.002302	2.222	9	21858048	success
['I', 'SFF', 'RFF', 'M', 'M']	0.002302	2.016	10	22016512	success
